decision_id,decision,evidence_status,recommendation,alternatives,adoption_status,stability,runtime_measurement_required,blocking_items,handoff
"D015","Service Worker runtime","CONFIRMED/INFERRED","Keep native event handlers; root Effect promises in waitUntil/respondWith","BrowserRuntime.runMain; Effect WorkerRunner","ADOPT_ARCHITECTURE","Web standard + stable Effect core within event","yes","real-browser SW lifecycle/update tests","offline/PWA implementation"
"D016","Service Worker learner progress ownership","PROJECT_CONFIRMED/INFERRED","Keep progress authority page-side IndexedDB; SW owns offline delivery/pack concerns","Message all commits through SW","REJECT_SW_AUTHORITY","project contract","yes","none unless architecture changes","offline/player implementation"
"D017","Browser Cache Storage abstraction","CONFIRMED/INFERRED","Use native Cache Storage behind product PackCache/OfflineAssetStore when version semantics justify","generic wrapper just hiding caches global","ADOPT_PRODUCT_SERVICE","Web standard","yes","real-browser offline/update tests","offline lane"
"D018","Shared browser/Cloudflare cache provider","CONFIRMED/INFERRED","Reject because Cloudflare Cache is data-center-local with different semantics","One CacheStorage provider for both","REJECT","different runtime semantics","no","none","architecture synthesis"
"D019","Effect workers","CONFIRMED/INFERRED","Do not adopt until a dedicated computation/worker protocol feature exists; never use as SW abstraction","Preemptively use BrowserWorker/BunWorker","DEFER","effect/unstable/workers","yes if future feature","concrete workload/profile evidence","future performance lane"
"D020","Effect sockets","CONFIRMED/INFERRED","Do not adopt; no current product requirement","Add WebSocket/socket abstraction for portability","REJECT_CURRENT_NEED","effect/unstable/socket","yes if future feature","actual realtime requirement","future backend lane"
"D021","Effect child process","CONFIRMED/INFERRED","Exclude from default compiler; isolate only around required external tool","Provide ChildProcessSpawner globally","DEFER","effect/unstable/process","yes if adopted","external-tool requirement","compiler/asset lanes"
"D022","Effect-aware testing","CONFIRMED/INFERRED","Use @effect/vitest for Effect services/Layers/property tests; retain real runtime integration tests","bun test as universal test runner; plain Vitest without Effect helpers","ADOPT_ARCHITECTURE","@effect/vitest v4 RC","yes","cohort install; test-runner synthesis","testing lane"
"D023","Real browser tests","PROJECT_CONFIRMED/INFERRED","Mandatory for IndexedDB transaction timing and Service Worker lifecycle","fake-indexeddb/unit tests only","ADOPT_GATE","browser runtime","yes","browser harness selection","testing/offline lanes"
"D024","Version lock","CONFIRMED","Do not mix RC source/package versions by assumption; resolve one complete published cohort with Bun and commit lock","Pin source rc.111 everywhere despite platform-bun registry lag","BLOCKED","v4 RC publication skew","yes","Bun/package registry access unavailable in lane","workspace/dependency lock"
"D025","Unstable API containment","CONFIRMED/INFERRED","Keep unstable HTTP/persistence/process/reactivity/socket/workers behind runtime/provider boundaries with replacement plan","Expose unstable APIs across product modules","ADOPT_ARCHITECTURE","unstable by namespace/dependency chain","yes when each is adopted","provider-specific probes","all implementation lanes"
"D026","Shutdown/finalizer persistence","CONFIRMED/INFERRED","Never depend on pagehide/SW termination/process signal/workerd eviction to commit business state","Save learner-critical state in finalizers","REJECT","runtime-dependent teardown","yes","none","player/offline implementation"
