source_id,authority,title,version_or_ref,commit_sha,path_or_coordinate,url,accessed_at,supports,limitations
"S020","npm registry primary","effect versions","4.0.0-rc.111 rc tag","","npm package versions","https://www.npmjs.com/package/effect?activeTab=versions","2026-08-21T20:13:00Z","rc.111 is published; stable latest remains 3.22.1","registry page is not source-level API evidence"
"S021","npm registry primary","@effect/platform-bun versions","4.0.0-rc.110 rc tag","","npm package versions","https://www.npmjs.com/package/@effect/platform-bun?activeTab=versions","2026-08-21T20:13:00Z","observed source/registry mismatch for rc.111","registry may change after access time"
"S022","npm registry primary","@effect/vitest versions","4.0.0-rc.111","","npm package versions","https://www.npmjs.com/package/@effect/vitest?activeTab=versions","2026-08-21T20:13:00Z","rc.111 is published","registry may change after access time"
"S023","npm registry primary","@effect/platform-browser package","0.77.1 stable page with recent publish","","npm package page","https://www.npmjs.com/package/@effect/platform-browser","2026-08-21T20:13:00Z","package exists and is actively published","available result did not expose an exact v4 versions table; rc.111 registry availability remains UNKNOWN"
"S030","Bun primary","Bun official homepage","1.3.14","","current install coordinate","https://bun.sh/","2026-08-21T20:17:00Z","current Bun version; Bun runtime/package-manager/test/bundler roles","Bun executable unavailable in lane probe environment"
"S040","Cloudflare primary","Workers Fetch handler","2026-04-23 docs","","module fetch(request, env, ctx)","https://developers.cloudflare.com/workers/runtime-apis/handlers/fetch/","2026-08-21T20:16:00Z","native Request/Response handler, env bindings, ctx","docs/runtime behavior can depend on compatibility date/flags"
"S041","Cloudflare primary","Workers Context waitUntil","current 2026 docs","","ExecutionContext","https://developers.cloudflare.com/workers/runtime-apis/context/","2026-08-21T20:16:00Z","background lifetime semantics and 30-second waitUntil limit","HTTP-triggered worker semantics, not browser service-worker semantics"
"S042","Cloudflare primary","Workers Fetch API","2026-07-05 docs","","request-context fetch","https://developers.cloudflare.com/workers/runtime-apis/fetch/","2026-08-21T20:16:00Z","fetch only inside handler/request context; Module Workers recommended","Cloudflare-specific behavior differs from browser global fetch"
"S043","Cloudflare primary","Workers Cache API","2026-08-14 docs","","caches.default/caches.open","https://developers.cloudflare.com/workers/runtime-apis/cache/","2026-08-21T20:16:00Z","data-center-local Cache semantics and differences from browser Cache API","not an origin-of-truth persistence store"
"S050","MDN / Web standards reference","ExtendableEvent.waitUntil","widely available","","Service Worker lifecycle","https://developer.mozilla.org/en-US/docs/Web/API/ExtendableEvent/waitUntil","2026-08-21T20:18:00Z","service-worker event lifetime and install/activate failure semantics","reference summary; normative specification remains Service Workers standard"
"S051","MDN / Web standards reference","ServiceWorkerGlobalScope fetch event","widely available","","FetchEvent.respondWith","https://developer.mozilla.org/en-US/docs/Web/API/ServiceWorkerGlobalScope/fetch_event","2026-08-21T20:18:00Z","respondWith must be called synchronously and owns request response promise","reference summary; normative specification remains Service Workers standard"
