asset_type	stable_id	opaque_asset_id	revision	review_surface	visual_mode	aspect_ratio	background_mode	detail_density	phone_legibility	print_legibility	crop_tolerance	permitted_contexts	prohibited_contexts	identity_fit	slop_flags	disposition	notes
tool	tool.hand-scrub-brush	t011	1	phone=content/assets/derivatives/tools/t011-phone.png;print=content/assets/derivatives/tools/t011-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.toilet-bowl-brush	t012	1	phone=content/assets/derivatives/tools/t012-phone.png;print=content/assets/derivatives/tools/t012-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.duster	t013	1	phone=content/assets/derivatives/tools/t013-phone.png;print=content/assets/derivatives/tools/t013-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.dustpan	t014	1	phone=content/assets/derivatives/tools/t014-phone.png;print=content/assets/derivatives/tools/t014-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.floor-squeegee	t015	1	phone=content/assets/derivatives/tools/t015-phone.png;print=content/assets/derivatives/tools/t015-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.window-squeegee	t016	1	phone=content/assets/derivatives/tools/t016-phone.png;print=content/assets/derivatives/tools/t016-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.window-strip-washer	t017	1	phone=content/assets/derivatives/tools/t017-phone.png;print=content/assets/derivatives/tools/t017-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	equipment.janitor-cart	t018	1	phone=content/assets/derivatives/tools/t018-phone.png;print=content/assets/derivatives/tools/t018-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	equipment.hand-truck	t019	1	phone=content/assets/derivatives/tools/t019-phone.png;print=content/assets/derivatives/tools/t019-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	equipment.dolly	t020	1	phone=content/assets/derivatives/tools/t020-phone.png;print=content/assets/derivatives/tools/t020-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	equipment.vacuum.upright	t021	1	phone=content/assets/derivatives/tools/t021-phone.png;print=content/assets/derivatives/tools/t021-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;unscored-identification-only	decorative-brand-surface;cropped-or-filtered-use;implied-official-content;scored-comparison-until-specialist-signoff	assessment-only	none-recorded-in-release-review	future-separate-review	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Gate: Before scored upright-vacuum versus carpet-extractor comparison use, obtain specialist comparative signoff; the selected drawings represent specific generic configurations, not universal silhouettes.
tool	equipment.vacuum.canister	t022	1	phone=content/assets/derivatives/tools/t022-phone.png;print=content/assets/derivatives/tools/t022-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	equipment.vacuum.wet-dry	t023	1	phone=content/assets/derivatives/tools/t023-phone.png;print=content/assets/derivatives/tools/t023-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	equipment.carpet-extractor	t024	1	phone=content/assets/derivatives/tools/t024-phone.png;print=content/assets/derivatives/tools/t024-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;unscored-identification-only	decorative-brand-surface;cropped-or-filtered-use;implied-official-content;scored-comparison-until-specialist-signoff	assessment-only	none-recorded-in-release-review	future-separate-review	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Gate: Before scored upright-vacuum versus carpet-extractor comparison use, obtain specialist comparative signoff; the selected drawings represent specific generic configurations, not universal silhouettes.
tool	equipment.steam-cleaner	t025	1	phone=content/assets/derivatives/tools/t025-phone.png;print=content/assets/derivatives/tools/t025-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	equipment.floor-machine.low-speed	t026	1	phone=content/assets/derivatives/tools/t026-phone.png;print=content/assets/derivatives/tools/t026-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;unscored-identification-only	decorative-brand-surface;cropped-or-filtered-use;implied-official-content;scored-comparison-until-specialist-signoff	assessment-only	none-recorded-in-release-review	future-separate-review	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Gate: Before scored floor-machine versus burnisher comparison use, obtain specialist comparative signoff; accessory and chassis geometry are representative, not universal.
tool	equipment.burnisher.high-speed	t027	1	phone=content/assets/derivatives/tools/t027-phone.png;print=content/assets/derivatives/tools/t027-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;unscored-identification-only	decorative-brand-surface;cropped-or-filtered-use;implied-official-content;scored-comparison-until-specialist-signoff	assessment-only	none-recorded-in-release-review	future-separate-review	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Gate: Before scored floor-machine versus burnisher comparison use, obtain specialist comparative signoff; accessory and chassis geometry are representative, not universal.
tool	equipment.vacuum.ride-on	t028	1	phone=content/assets/derivatives/tools/t028-phone.png;print=content/assets/derivatives/tools/t028-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;entry-recognition-only	decorative-brand-surface;cropped-or-filtered-use;implied-official-content;operation-teaching;use-beyond-recorded-scope	assessment-only	none-recorded-in-release-review	future-separate-review	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Gate: Entry recognition only pending scope and specialist review; do not infer a universal ride-on vacuum silhouette or teach operation from the image.
tool	equipment.snow-blower	t029	1	phone=content/assets/derivatives/tools/t029-phone.png;print=content/assets/derivatives/tools/t029-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;entry-recognition-only	decorative-brand-surface;cropped-or-filtered-use;implied-official-content;operation-teaching;use-beyond-recorded-scope	assessment-only	none-recorded-in-release-review	future-separate-review	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Gate: Entry recognition/basic-safety use only pending scope review; do not teach operation from the image.
tool	equipment.hedge-trimmer	t030	1	phone=content/assets/derivatives/tools/t030-phone.png;print=content/assets/derivatives/tools/t030-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;entry-recognition-only	decorative-brand-surface;cropped-or-filtered-use;implied-official-content;operation-teaching;use-beyond-recorded-scope	assessment-only	none-recorded-in-release-review	future-separate-review	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Gate: Entry recognition/basic-safety use only pending scope review; do not teach operation from the image.
tool	tool.hammer.claw	t031	1	phone=content/assets/derivatives/tools/t031-phone.png;print=content/assets/derivatives/tools/t031-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.hammer.ball-peen	t032	1	phone=content/assets/derivatives/tools/t032-phone.png;print=content/assets/derivatives/tools/t032-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.mallet.rubber	t033	1	phone=content/assets/derivatives/tools/t033-phone.png;print=content/assets/derivatives/tools/t033-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.screwdriver.slotted	t034	1	phone=content/assets/derivatives/tools/t034-phone.png;print=content/assets/derivatives/tools/t034-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.screwdriver.phillips	t035	1	phone=content/assets/derivatives/tools/t035-phone.png;print=content/assets/derivatives/tools/t035-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.adjustable-wrench	t036	1	phone=content/assets/derivatives/tools/t036-phone.png;print=content/assets/derivatives/tools/t036-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	use-as-is	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.pipe-wrench	t037	2	phone=content/assets/derivatives/tools/t037-phone.png;print=content/assets/derivatives/tools/t037-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	use-as-is	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.wrench.fixed	t038	1	phone=content/assets/derivatives/tools/t038-phone.png;print=content/assets/derivatives/tools/t038-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.pliers.slip-joint	t039	1	phone=content/assets/derivatives/tools/t039-phone.png;print=content/assets/derivatives/tools/t039-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.pliers.tongue-groove	t040	1	phone=content/assets/derivatives/tools/t040-phone.png;print=content/assets/derivatives/tools/t040-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.pliers.needle-nose	t041	1	phone=content/assets/derivatives/tools/t041-phone.png;print=content/assets/derivatives/tools/t041-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.pliers.diagonal-cutting	t042	1	phone=content/assets/derivatives/tools/t042-phone.png;print=content/assets/derivatives/tools/t042-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.pliers.locking	t043	1	phone=content/assets/derivatives/tools/t043-phone.png;print=content/assets/derivatives/tools/t043-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.clamp.c	t044	1	phone=content/assets/derivatives/tools/t044-phone.png;print=content/assets/derivatives/tools/t044-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.clamp.bar	t045	1	phone=content/assets/derivatives/tools/t045-phone.png;print=content/assets/derivatives/tools/t045-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.hand-plane	t046	1	phone=content/assets/derivatives/tools/t046-phone.png;print=content/assets/derivatives/tools/t046-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.saw.crosscut	t047	1	phone=content/assets/derivatives/tools/t047-phone.png;print=content/assets/derivatives/tools/t047-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;unscored-identification-only	decorative-brand-surface;cropped-or-filtered-use;implied-official-content;scored-comparison-until-specialist-signoff	assessment-only	none-recorded-in-release-review	future-separate-review	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Gate: Crosscut/rip scored comparison remains gated on specialist tooth-geometry review at native and 320 px sizes.
tool	tool.saw.rip	t048	1	phone=content/assets/derivatives/tools/t048-phone.png;print=content/assets/derivatives/tools/t048-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;unscored-identification-only	decorative-brand-surface;cropped-or-filtered-use;implied-official-content;scored-comparison-until-specialist-signoff	assessment-only	none-recorded-in-release-review	future-separate-review	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Gate: Crosscut/rip scored comparison remains gated on specialist tooth-geometry review at native and 320 px sizes.
