capability,runtime,option_a_native,option_b_project_service,option_c_effect,selected_package_or_module,stability,source_coordinate,semantics,cancellation_truth,resource_ownership,portability_value,testability,bundle_cost_hypothesis,project_need,recommendation,evidence_status,adoption_status
Cache Storage,browser page/service worker,caches.open/match/put/delete,OfflineAssetCache or PackAssetCache,no current dedicated browser abstraction,native Cache Storage inside service-worker/content-pack boundary,stable Web API with browser support caveats,Web Cache API,"HTTP Request/Response cache, not transactional application state",cache operations are promises; interruption cannot guarantee rollback,origin and service-worker lifecycle,low versus Cloudflare Cache API despite similar names,real Service Worker/browser tests,none,offline static assets and versioned packs,Use for immutable bytes only; keep manifests/activation state in IndexedDB,OBSERVED,RECOMMENDED
service-worker events,browser service worker,install/activate/fetch/message with waitUntil/respondWith,pure/use-case helpers invoked from native listeners,short Effects converted to promises; no lifecycle adapter,native event API,Web standard,Service Worker specification/MDN,event lifetime and response ownership are host-controlled,worker termination and event lifetime are host semantics; Effect fibers cannot extend lifetime without waitUntil/respondWith,each event owns its promise/response,must remain distinct from Cloudflare fetch handler,real browser registration/lifecycle tests,avoid long-lived Effect runtime unless measured value,"offline installation, activation and fetch",Keep listeners native; share pure Schema/use-case code only,OBSERVED,RECOMMENDED
BroadcastChannel,browser page/service worker,BroadcastChannel,CrossTabCoordination for version activation or progress refresh,no dedicated requirement,native behind a small coordination service only when needed,stable Web API with support scope,Web platform,"best-effort same-origin messaging, not durable consensus",close stops local channel; sent messages have no transactional rollback,scope owns channel,low outside same-origin browser contexts,real multi-context browser test,none,possible multi-tab pack activation,"Use as invalidation hint, never as source of truth",OBSERVED,DEFERRED
Web Locks,browser page/service worker,navigator.locks.request,PackActivationLock/MigrationLock,wrap acquisition in scoped Effect when lifecycle/testing matters,native API inside a focused project service,Web API; support-gated,Web Locks API,"cross-context mutual exclusion, not durable transaction",AbortSignal can cancel waiting; acquired callback must finish; storage transaction remains separate,callback/scope,provider-specific,real multi-context browser tests plus service fake,small wrapper only,pack activation/migration coordination,Use only as coordination guard around authoritative IndexedDB state transitions,OBSERVED,PROVISIONAL
StorageManager,browser page/worker,navigator.storage.estimate/persist/persisted,StorageBudget advisory service,thin Effect wrapper only for typed failure/testing,native API,Web API; browser policy varies,StorageManager Web API,"quota and persistence hints, not guarantees",promise operations; no rollback semantics,browser origin,low,feature-detect; real browser,none,warn before large pack downloads,"Treat as advisory UX input, never publication/commit authority",OBSERVED,PROVISIONAL
online/offline signals,browser page/service worker,navigator.onLine and online/offline events,ConnectivityHint,event stream only if consumers justify it,native hint,stable but semantically weak,HTML/MDN,"network-interface heuristic, not origin reachability",event listener removal only,window/worker global,low,synthetic events plus integration,none,UX hints for pack/update/correction actions,Never gate correctness or reveal on onLine; attempt operation and handle typed failure,CONFIRMED+OBSERVED,RECOMMENDED
DOM events,browser page,addEventListener with AbortSignal,UI controller only where lifecycle is complex,convert at boundary; Effect is not the renderer,native DOM events,Web standard,DOM,UI event ownership and accessibility behavior,listener AbortSignal removes listener; downstream Effects are separately interruptible,DOM node/controller scope,none outside DOM,DOM/browser tests,none,all interactivity,Keep native and semantic; invoke Effect use cases from event boundary,OBSERVED,RECOMMENDED
clocks/time,all,Date/performance.now/setTimeout,none for ordinary domain time because Effect already provides Clock,Clock and DateTime,effect/Clock and effect/DateTime for domain/testable time; performance.now for local measurement,stable v4 core,effect 4.0.0-rc.111,testable sleep/current time versus monotonic measurement,Effect sleep is interruptible; host timers may already have fired,runtime scheduler,high,high with TestClock,already part of core Effect use,"sessions, review scheduling, retries",Use Effect Clock/DateTime in domain; keep performance timing native,CONFIRMED,RECOMMENDED
filesystem/path/process/runtime,Bun tooling,Bun/Node fs path process APIs,content compiler capabilities,"BunRuntime, BunFileSystem, BunPath, BunTerminal; effect/FileSystem and Path",focused @effect/platform-bun layers plus BunRuntime at CLI root,release candidate public modules; aggregate includes unstable process capability,platform-bun @ 993f4be,"typed platform errors, scoped resources, single runtime root and signal handling",interruption cancels Effect waiters; filesystem syscalls may complete; process exit/signals remain host semantics,one CLI runtime root; scoped files/watchers/resources,"high at service interface, implementation remains Bun/node-shared",high with test layers plus real Bun integration,tooling-only; keep out of browser/workerd graphs,content compiler and build scripts,Use focused layers; do not default to BunServices.layer,CONFIRMED; execution BLOCKED,PROVISIONAL
Cloudflare bindings,workerd,env parameter,CorrectionStore/RateLimiter/AnalyticsSink from env,per-request service injection into shared runtime,native env boundary plus focused project services,Cloudflare production API,Cloudflare module Worker fetch docs,deployment-owned binding handles and request context,binding operation cancellation varies by provider,env/request; do not assume generic portability,"project service isolates use case, not provider semantics",Workers Vitest/workerd integration with binding fakes,small focused adapters,only if correction/analytics backend is deployed,Keep env at boundary; inject only capabilities actually used,CONFIRMED; runtime execution BLOCKED,DEFERRED
Cloudflare fetch handler,workerd,"export default { fetch(request, env, ctx) }",native boundary calling Effect use case,HttpRouter.toWebHandler or HttpApiBuilder,native module fetch + Effect core use case,Cloudflare stable; Effect HTTP alternatives unstable,Cloudflare docs; Effect HttpEffect/HttpRouter @ 993f4be,small Web-standard request boundary with explicit env/context,Request.signal depends on Cloudflare compatibility behavior; map to Effect interruption but keep provider caveats,module/isolate scope plus request-scoped fibers,truthful at Web boundary without pretending isolate lifecycle is browser lifecycle,direct handler tests plus Workers Vitest/workerd,smallest option,small correction endpoint,Adopt option A; revisit only after API complexity grows,CONFIRMED; type/build OBSERVED; workerd BLOCKED,RECOMMENDED
Cloudflare Cache API,workerd,caches.default or named cache where supported,edge response cache with explicit key policy,no generic portability layer,none for current correction endpoint,Cloudflare runtime-specific,Cloudflare Cache docs,edge HTTP caching with Cloudflare-specific replication/limits,cache write promises can outlive response through waitUntil; no transactional rollback,Cloudflare edge/context,must remain distinct from browser Cache Storage,workerd integration,none if unused,none for correction writes,Do not introduce,CONFIRMED,NOT ADOPTED
Cloudflare streams,workerd,ReadableStream Response,streaming use case only if needed,Effect HTTP Web handler transfers scope to response stream,native for tiny JSON endpoint,Web API stable; Effect bridge unstable,Cloudflare Streams docs; HttpEffect @ 993f4be,stream response without buffering and keep resources alive through body consumption,client disconnect may cancel stream; upstream provider cancellation remains cooperative,response body scope,"Web shape portable, limits/runtime context not",workerd streaming tests,avoid Effect bridge for non-streaming JSON,none initially,Use native JSON Response; use bridge only when real streaming/resource scope appears,CONFIRMED; workerd BLOCKED,NOT ADOPTED
Cloudflare request abort,workerd,request.signal,request scope interruption signal,HttpEffect Web handler interrupts fiber on abort,native signal mapped once at boundary,Cloudflare behavior compatibility-flag dependent; Effect bridge unstable,Cloudflare Request docs; HttpEffect @ 993f4be,client-abort notification into request work,signal does not guarantee remote storage/queue operation cancellation or rollback,request scope,moderate signal shape; provider behavior differs,actual workerd/Workers test with compatibility flag and disconnect,small mapping,correction request cleanup,Propagate interruption but design idempotency as correctness mechanism,CONFIRMED; browser abort OBSERVED; workerd BLOCKED,PROVISIONAL
correction endpoint,Cloudflare Worker,tiny fetch handler,native boundary + Effect Schema/use case,unstable HttpRouter or HttpApi,native fetch boundary with Effect Schema/domain function if backend is built,small native boundary stable; Effect core RC,product FEATURE_SPEC; Cloudflare docs,"idempotent bounded submission, validation, rate limiting, generic security responses",client abort cannot substitute for idempotency or durable submission semantics,request scope; waitUntil only for non-critical post-response work,"high at use-case level, low at provider binding level",direct handler tests plus workerd integration and abuse tests,lowest of compared options,only justified dynamic endpoint,Choose A plus a narrow Effect use case; reconsider HttpRouter at multiple endpoints/middleware,INFERRED from CONFIRMED product/runtime evidence,RECOMMENDED
optional analytics endpoint,Cloudflare Worker,same narrow handler or queue event,AnalyticsSink with privacy schema and sampling,shared Effect use case/runtime if correction backend already exists,none initially,product optional,product FEATURE_SPEC,first-party low-cardinality events without accounts or cross-site tracking,best-effort telemetry may be dropped; never block study flow,request/event context,service useful only for privacy policy/testing,schema/privacy tests plus workerd integration,avoid separate server until justified,optional,"Defer; if added, isolate failure and use waitUntil only for explicitly best-effort work",INFERRED,DEFERRED
